agent_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,departure_time,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,number_of_nodes
363,1,2,1,2,424.05,1,1,1,30.00,1,10,12,
364,1,2,1,2,424.06,1,1,1,10.00,1,15,12,
365,1,2,1,2,424.07,1,1,1,15.00,2,15,12,
366,1,2,1,2,424.09,1,1,1,10.00,1,5,12,
367,1,2,1,2,424.10,1,1,1,20.00,1,5,12,
368,1,2,1,2,424.11,1,1,1,5.00,1,10,12,
369,1,2,1,2,424.12,1,1,1,20.00,2,5,12,
370,1,2,1,2,424.14,1,1,1,15.00,1,10,12,
371,1,2,1,2,424.15,1,1,1,20.00,1,5,12,
372,1,2,1,2,424.16,1,1,1,60.00,1,10,12,
373,1,2,1,2,424.17,1,1,1,20.00,1,0,12,
374,1,2,1,2,424.18,1,1,1,15.00,1,5,12,
375,1,2,1,2,424.20,1,1,1,1.00,1,5,12,
376,1,2,1,2,424.21,1,1,1,10.00,2,5,12,
377,1,2,1,2,424.21,2,2,1,20.00,1,5,12,
378,1,2,1,2,424.21,3,3,1,30.00,5,10,12,
379,1,2,1,2,424.22,1,1,1,30.00,1,5,12,
380,1,2,1,2,424.23,1,1,1,20.00,1,5,12,
381,1,2,1,2,424.25,1,1,1,30.00,1,5,12,
382,1,2,1,2,424.26,1,1,1,10.00,1,5,12,
383,1,2,1,2,424.27,1,1,1,10.00,1,15,12,
384,1,2,1,2,424.28,1,1,1,30.00,1,5,12,
385,1,2,1,2,424.30,1,1,1,5.00,1,0,12,
386,1,2,1,2,424.31,1,1,1,20.00,2,5,12,
387,1,2,1,2,424.32,1,1,1,10.00,1,15,12,
388,1,2,1,2,424.33,1,1,1,1.00,1,15,12,
389,1,2,1,2,424.35,1,1,1,5.00,1,10,12,
390,1,2,1,2,424.36,1,1,1,10.00,1,10,12,
391,1,2,1,2,424.37,1,1,1,10.00,1,5,12,
392,1,2,1,2,424.38,1,1,1,10.00,2,5,12,
393,1,2,1,2,424.39,1,1,1,20.00,1,15,12,
394,1,2,1,2,424.41,1,1,1,10.00,2,10,12,
395,1,2,1,2,424.42,1,1,1,10.00,1,15,12,
396,1,2,1,2,424.43,1,1,1,15.00,1,15,12,
397,1,2,1,2,424.44,2,2,1,1.00,1,10,12,
398,1,2,1,2,424.44,3,3,1,20.00,5,5,12,
399,1,2,1,2,424.44,1,1,1,30.00,1,5,12,
400,1,2,1,2,424.46,1,1,1,15.00,1,10,12,
401,1,2,1,2,424.47,1,1,1,5.00,2,5,12,
402,1,2,1,2,424.48,1,1,1,10.00,1,5,12,
403,1,2,1,2,424.49,1,1,1,5.00,1,10,12,
404,1,2,1,2,424.51,1,1,1,20.00,1,0,12,
405,1,2,1,2,424.52,1,1,1,1.00,1,10,12,
406,1,2,1,2,424.53,1,1,1,20.00,1,10,12,
407,1,2,1,2,424.54,1,1,1,10.00,1,5,12,
408,1,2,1,2,424.56,1,1,1,20.00,2,10,12,
409,1,2,1,2,424.57,1,1,1,5.00,1,5,12,
410,1,2,1,2,424.58,1,1,1,10.00,1,10,12,
411,1,2,1,2,424.59,1,1,1,20.00,1,5,12,
412,1,2,1,2,424.60,1,1,1,30.00,2,5,12,
413,1,2,1,2,424.62,1,1,1,20.00,1,0,12,
414,1,2,1,2,424.63,1,1,1,10.00,1,5,12,
415,1,2,1,2,424.64,1,1,1,20.00,1,10,12,
416,1,2,1,2,424.65,1,1,1,10.00,1,5,12,
417,1,2,1,2,424.66,2,2,1,10.00,1,5,12,
418,1,2,1,2,424.66,3,3,1,30.00,3,10,12,
419,1,2,1,2,424.67,1,1,1,20.00,1,10,12,
420,1,2,1,2,424.68,1,1,1,10.00,1,15,12,
421,1,2,1,2,424.69,1,1,1,20.00,1,15,12,
422,1,2,1,2,424.70,1,1,1,10.00,1,5,12,
423,1,2,1,2,424.72,1,1,1,20.00,1,5,12,
424,1,2,1,2,424.73,1,1,1,10.00,1,5,12,
425,1,2,1,2,424.74,1,1,1,20.00,1,0,12,
426,1,2,1,2,424.75,1,1,1,10.00,1,15,12,
427,1,2,1,2,424.76,1,1,1,15.00,1,5,12,
428,1,2,1,2,424.78,1,1,1,10.00,2,15,12,
429,1,2,1,2,424.79,1,1,1,10.00,1,0,12,
430,1,2,1,2,424.80,1,1,1,10.00,1,15,12,
431,1,2,1,2,424.81,1,1,1,10.00,1,5,12,
432,1,2,1,2,424.83,1,1,1,1.00,1,15,12,
433,1,2,1,2,424.84,1,1,1,5.00,1,5,12,
434,1,2,1,2,424.85,1,1,1,10.00,1,10,12,
